name,position,age,club,nation,appearances,goals,assists
Max Aarons,DF,25.0,Bournemouth,eng ENG,3,0,0
Max Aarons,MF,25.0,Valencia,eng ENG,1,0,0
Rodrigo Abajas,DF,21.0,Valencia,es ESP,1,0,0
James Abankwah,"DF,MF",21.0,Udinese,ie IRL,6,0,0
Keyliane Abdallah,FW,18.0,Marseille,fr FRA,1,0,0
Yunis Abdelhamid,DF,37.0,Saint-Étienne,ma MAR,12,0,0
Himad Abdelli,"MF,FW",25.0,Angers,dz ALG,24,6,1
Mohamed Abdelmoneim,DF,26.0,Nice,eg EGY,9,0,0
Ali Abdi,"DF,MF",31.0,Nice,tn TUN,17,2,2
Saud Abdulhamid,DF,25.0,Roma,sa KSA,4,0,1
Abel,DF,24.0,Osasuna,es ESP,25,2,0
Nabil Aberdin,MF,22.0,Getafe,fr FRA,7,0,0
Oliver Abildgaard,MF,28.0,Como,dk DEN,1,0,0
Matthis Abline,FW,21.0,Nantes,fr FRA,25,7,1
Abner,DF,24.0,Lyon,br BRA,14,1,1
Zakaria Aboukhlal,"MF,FW",25.0,Toulouse,ma MAR,23,7,2
Abdel Abqar,DF,26.0,Alavés,ma MAR,25,0,1
Tammy Abraham,FW,27.0,Roma,eng ENG,1,0,0
Tammy Abraham,FW,27.0,Milan,eng ENG,22,2,2
Federico Accornero,MF,21.0,Genoa,it ITA,1,0,0
Francesco Acerbi,DF,37.0,Inter,it ITA,14,0,1
Joshua Acheampong,DF,18.0,Chelsea,eng ENG,4,0,0
Akor Adams,FW,25.0,Sevilla,ng NGA,1,0,0
Akor Adams,FW,25.0,Montpellier,ng NGA,15,3,1
Che Adams,FW,28.0,Torino,sct SCO,26,8,3
Tyler Adams,MF,26.0,Bournemouth,us USA,18,0,3
Junior Adamu,FW,23.0,Freiburg,at AUT,18,2,1
Tosin Adarabioyo,DF,27.0,Chelsea,eng ENG,15,1,1
Martin Adeline,MF,21.0,Reims,fr FRA,1,0,0
Karim Adeyemi,"FW,MF",23.0,Dortmund,de GER,16,3,3
Simon Adingra,"FW,MF",23.0,Brighton,ci CIV,19,2,1
Amine Adli,"MF,FW",24.0,Leverkusen,ma MAR,11,1,0
Yacine Adli,MF,24.0,Fiorentina,fr FRA,20,3,4
Adrián,GK,38.0,Betis,es ESP,8,0,0
Adryelson,DF,26.0,Lyon,br BRA,1,0,0
Vasilije Adžić,"MF,FW",18.0,Juventus,me MNE,3,0,0
Michel Aebischer,MF,28.0,Bologna,ch SUI,9,0,0
Oladapo Afolayan,"FW,MF",27.0,St. Pauli,eng ENG,24,2,1
Emmanuel Agbadou,DF,27.0,Wolves,ci CIV,6,0,0
Emmanuel Agbadou,DF,27.0,Reims,ci CIV,14,0,0
Asher Agbinone,MF,19.0,Crystal Palace,eng ENG,2,0,0
Jeremy Agbonifo,"FW,MF",19.0,Lens,se SWE,4,1,0
Julen Agirrezabala,GK,24.0,Athletic Club,es ESP,14,0,0
Lucien Agoume,MF,23.0,Sevilla,fr FRA,25,0,0
Felix Agu,DF,25.0,Werder Bremen,de GER,13,2,0
Álvaro Aguado,MF,28.0,Espanyol,es ESP,11,0,0
Lorenzo Aguado,DF,22.0,Real Madrid,es ESP,2,0,0
Nayef Aguerd,DF,28.0,Real Sociedad,ma MAR,20,0,0
Ruben Aguilar,DF,31.0,Lens,fr FRA,10,1,1
Naouirou Ahamada,"MF,FW",22.0,Rennes,fr FRA,3,0,0
Honest Ahanor,DF,17.0,Genoa,it ITA,2,0,0
Erik Ahlstrand,"FW,MF",23.0,St. Pauli,se SWE,5,0,0
Jean-Eudes Aholou,MF,30.0,Angers,ci CIV,23,2,0
Joseph Aidoo,DF,29.0,Valladolid,gh GHA,3,0,0
Joseph Aidoo,DF,29.0,Celta Vigo,gh GHA,1,0,0
Ayman Aiki,"FW,MF",19.0,Saint-Étienne,fr FRA,5,0,0
Ola Aina,DF,28.0,Nott'ham Forest,ng NGA,28,2,1
Rayan Aït-Nouri,DF,23.0,Wolves,dz ALG,27,3,5
Junior Ajayi,FW,20.0,Hellas Verona,ci CIV,1,0,0
Kristoffer Ajer,DF,26.0,Brentford,no NOR,15,0,0
Ludovic Ajorque,FW,31.0,Brest,fr FRA,22,10,1
Manuel Akanji,DF,29.0,Manchester City,ch SUI,20,0,0
Ümit Akdag,DF,21.0,Toulouse,ro ROU,6,0,0
Nathan Aké,DF,30.0,Manchester City,nl NED,10,0,0
Ilias Akhomach,"MF,FW",20.0,Villarreal,ma MAR,11,1,0
Sergio Akieme,DF,27.0,Reims,es ESP,21,1,1
Maghnes Akliouche,"FW,MF",23.0,Monaco,fr FRA,23,3,6
Clément Akpa,DF,23.0,Auxerre,ci CIV,23,0,1
